cnpj,cvm_code,root,company,trading_name,ticker
49.263.189/0001-02,20877,HBOR,HELBOR EMPREENDIMENTOS S.A.,HELBOR,HBOR3
92.749.225/0001-63,6629,HETA,HERCULES S.A. FABRICA DE TALHERES,HERCULES,HETA4
12.648.327/0001-53,22675,HBSA,HIDROVIAS DO BRASIL S.A.,HIDROVIAS,HBSA3
02.932.074/0001-91,21431,HYPE,HYPERA S.A.,HYPERA,HYPE3
60.543.816/0001-93,8672,IGTI,IGUATEMI S.A.,IGUATEMI S.A,IGTI11
60.543.816/0001-93,8672,IGTI,IGUATEMI S.A.,IGUATEMI S.A,IGTI3
60.543.816/0001-93,8672,IGTI,IGUATEMI S.A.,IGUATEMI S.A,IGTI4
17.314.329/0001-20,23574,MEAL,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,IMC S/A,MEAL3
76.627.504/0001-06,7595,INEP,INEPAR S.A. INDUSTRIA E CONSTRUCOES,INEPAR,INEP3
76.627.504/0001-06,7595,INEP,INEPAR S.A. INDUSTRIA E CONSTRUCOES,INEPAR,INEP4
38.456.921/0001-36,25747,IFCM,INFRACOMMERCE CXAAS S.A.,INFRACOMM,IFCM3
82.901.000/0001-27,25453,INTB,INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA,INTELBRAS,INTB3
01.548.981/0001-79,6041,FIGE,INVESTIMENTOS BEMGE S.A.,INVEST BEMGE,FIGE3
61.156.113/0001-75,11932,MYPK,IOCHPE MAXION S.A.,IOCHP-MAXION,MYPK3
92.791.243/0001-03,2429,RANI,IRANI PAPEL E EMBALAGEM S.A.,IRANI,RANI3
33.376.989/0001-91,24180,IRBR,IRB - BRASIL RESSEGUROS S.A.,IRBBRASIL RE,IRBR3
02.998.611/0001-04,18376,ISAE,ISA ENERGIA BRASIL S.A,ISA ENERGIA,ISAE3
02.998.611/0001-04,18376,ISAE,ISA ENERGIA BRASIL S.A,ISA ENERGIA,ISAE4
61.532.644/0001-15,7617,ITSA,ITAUSA S.A.,ITAUSA,ITSA3
61.532.644/0001-15,7617,ITSA,ITAUSA S.A.,ITAUSA,ITSA4
60.872.504/0001-23,19348,ITUB,ITAU UNIBANCO HOLDING S.A.,ITAUUNIBANCO,ITUB3
60.872.504/0001-23,19348,ITUB,ITAU UNIBANCO HOLDING S.A.,ITAUUNIBANCO,ITUB4
02.635.522/0001-95,25496,JALL,JALLES MACHADO S.A.,JALLESMACHAD,JALL3
08.294.224/0001-65,20605,JHSF,JHSF PARTICIPACOES S.A.,JHSF PART,JHSF3
87.456.562/0001-22,13285,JOPA,JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,JOSAPAR,JOPA3
87.456.562/0001-22,13285,JOPA,JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,JOSAPAR,JOPA4
52.548.435/0001-79,22020,JSLG,JSL S.A.,JSL,JSLG3
82.640.558/0001-04,4146,CTKA,KARSTEN S.A.,KARSTEN,CTKA3
82.640.558/0001-04,4146,CTKA,KARSTEN S.A.,KARSTEN,CTKA4
